Flora e Funga do Brasil ID,Família,Nome Científico,Categoria de Risco,Ano de Avaliação,Houve Reavaliação,Ficha de Avaliação
101002,Fabaceae,Senegalia kallunkiae (J.W.Grimes & Barneby) Seigler & Ebinger,LC,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/101002
101001,Fabaceae,Senegalia grandistipula (Benth.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101001
100998,Fabaceae,Senegalia bahiensis (Benth.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/100998
101003,Fabaceae,Senegalia lacerans (Benth.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101003
101010,Fabaceae,Senegalia mikanii (Benth.) Seigler & Ebinger,EN,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/101010
101016,Fabaceae,Senegalia pteridifolia (Benth.) Seigler & Ebinger,LC,2023,Não,https://dados.cncflora.jbrj.gov.br/ficha/101016
101004,Fabaceae,Senegalia langsdorffii (Benth.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101004
10103,Monimiaceae,Mollinedia stenophylla Perkins,EN,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10103
101033,Fabaceae,Adesmia paranensis Burkart,NT,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101033
101042,Fabaceae,Aeschynomene denticulata Rudd,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101042
101023,Fabaceae,Senegalia lasiophylla (Benth.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101023
101044,Fabaceae,Aeschynomene fructipendula Abruzzi de Oliveira,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101044
101049,Fabaceae,Bionia coccinea Mart. ex Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101049
101055,Fabaceae,Centrosema jaraguaense Hoehne,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101055
101061,Fabaceae,Cratylia intermedia (Hassl.) L.P.Queiroz & R.Monteiro,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101061
101063,Fabaceae,Dahlstedtia pinnata (Benth.) Malme,LC,2020,Não,https://dados.cncflora.jbrj.gov.br/ficha/101063
101064,Fabaceae,Dalbergia ernest-ulei Hoehne,EN,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101064
101065,Fabaceae,Dalbergia glaziovii Harms,EN,2017,Não,https://dados.cncflora.jbrj.gov.br/ficha/101065
101067,Fabaceae,Deguelia costata (Benth.) A.M.G.Azevedo & R.A.Camargo,LC,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101067
101071,Fabaceae,Desmodium craspediferum A.M.G.Azevedo & Abruzzi de Oliveira,EN,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101071
101008,Fabaceae,Senegalia martiusiana (Steud.) Seigler & Ebinger,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101008
101075,Fabaceae,Desmodium venosum Vogel,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101075
101079,Fabaceae,Eriosema platycarpon Micheli,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101079
10108,Moraceae,Brosimum glaucum Taub.,VU,2021,Sim,https://dados.cncflora.jbrj.gov.br/ficha/10108
101081,Fabaceae,Exostyles glabra Vogel,DD,2018,Não,https://dados.cncflora.jbrj.gov.br/ficha/101081
101076,Fabaceae,Dioclea burkartii R.H.Maxwell,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101076
101088,Fabaceae,Lathyrus acutifolius Vogel,CR,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101088
101082,Fabaceae,Galactia benthamiana Micheli,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101082
101091,Fabaceae,Lathyrus hasslerianus Burkart,LC,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101091
101092,Fabaceae,Lathyrus hookeri G.Don,DD,2012,Não,https://dados.cncflora.jbrj.gov.br/ficha/101092
101050,Fabaceae,Bionia coriacea (Nees & Mart.) Benth.,LC,2022,Não,https://dados.cncflora.jbrj.gov.br/ficha/101050
